tensor(0.1943, device='cuda:0')   10
tensor(0.1295, device='cuda:0')   10
tensor(0.1204, device='cuda:0')   10
tensor(0.1158, device='cuda:0')   10
tensor(0.1022, device='cuda:0')   10
tensor(0.1568, device='cuda:0')   10
tensor(0.4177, device='cuda:0')   10
tensor(0.1027, device='cuda:0')   10
tensor(0.1004, device='cuda:0')   10
tensor(0.1003, device='cuda:0')   10
tensor(0.1306, device='cuda:0')   10
tensor(0.1776, device='cuda:0')   10
tensor(0.1417, device='cuda:0')   10
tensor(0.0986, device='cuda:0')   10
tensor(0.1378, device='cuda:0')   10
tensor(0.0962, device='cuda:0')   10
tensor(0.1314, device='cuda:0')   10
tensor(0.1501, device='cuda:0')   10
tensor(0.1355, device='cuda:0')   10
tensor(0.1924, device='cuda:0')   10
tensor(0.1298, device='cuda:0')   10
tensor(0.5315, device='cuda:0')   10
tensor(0.1553, device='cuda:0')   10
tensor(0.1476, device='cuda:0')   10
tensor(0.1296, device='cuda:0')   10
tensor(0.1063, device='cuda:0')   15
tensor(0.0598, device='cuda:0')   15
tensor(0.0931, device='cuda:0')   15
tensor(0.2080, device='cuda:0')   15
tensor(0.1001, device='cuda:0')   15
tensor(0.1054, device='cuda:0')   15
tensor(0.1356, device='cuda:0')   15
tensor(0.1437, device='cuda:0')   15
tensor(0.1914, device='cuda:0')   15
tensor(0.1368, device='cuda:0')   15
tensor(0.0938, device='cuda:0')   15
tensor(0.1068, device='cuda:0')   15
tensor(0.0990, device='cuda:0')   15
tensor(0.2737, device='cuda:0')   15
tensor(0.0762, device='cuda:0')   15
tensor(0.0902, device='cuda:0')   15
tensor(0.1258, device='cuda:0')   15
tensor(0.1188, device='cuda:0')   15
tensor(0.1254, device='cuda:0')   15
tensor(0.2722, device='cuda:0')   15
tensor(0.1346, device='cuda:0')   15
tensor(0.1889, device='cuda:0')   15
tensor(0.0868, device='cuda:0')   15
tensor(0.1510, device='cuda:0')   15
tensor(0.1194, device='cuda:0')   15
tensor(0.1103, device='cuda:0')   20
tensor(0.0982, device='cuda:0')   20
tensor(0.0993, device='cuda:0')   20
tensor(0.1296, device='cuda:0')   20
tensor(0.1480, device='cuda:0')   20
tensor(0.0869, device='cuda:0')   20
tensor(0.1754, device='cuda:0')   20
tensor(0.1669, device='cuda:0')   20
tensor(0.1624, device='cuda:0')   20
tensor(0.0908, device='cuda:0')   20
tensor(0.1370, device='cuda:0')   20
tensor(0.0984, device='cuda:0')   20
tensor(0.1611, device='cuda:0')   20
tensor(0.1763, device='cuda:0')   20
tensor(0.1238, device='cuda:0')   20
tensor(0.0832, device='cuda:0')   20
tensor(0.1502, device='cuda:0')   20
tensor(0.1756, device='cuda:0')   20
tensor(0.1329, device='cuda:0')   20
tensor(0.1294, device='cuda:0')   20
tensor(0.0916, device='cuda:0')   20
tensor(0.1847, device='cuda:0')   20
tensor(0.1498, device='cuda:0')   20
tensor(0.1086, device='cuda:0')   20
tensor(0.1947, device='cuda:0')   20
tensor(0.0993, device='cuda:0')   25
tensor(0.2322, device='cuda:0')   25
tensor(0.3840, device='cuda:0')   25
tensor(0.2280, device='cuda:0')   25
tensor(0.1402, device='cuda:0')   25
tensor(0.1137, device='cuda:0')   25
tensor(0.1936, device='cuda:0')   25
tensor(0.1086, device='cuda:0')   25
tensor(0.1599, device='cuda:0')   25
tensor(0.0903, device='cuda:0')   25
tensor(0.1163, device='cuda:0')   25
tensor(0.2585, device='cuda:0')   25
tensor(0.0909, device='cuda:0')   25
tensor(0.0838, device='cuda:0')   25
tensor(0.1843, device='cuda:0')   25
tensor(0.1041, device='cuda:0')   25
tensor(0.1974, device='cuda:0')   25
tensor(0.2875, device='cuda:0')   25
tensor(0.1471, device='cuda:0')   25
tensor(0.2455, device='cuda:0')   25
tensor(0.1127, device='cuda:0')   25
tensor(0.0626, device='cuda:0')   25
tensor(0.1802, device='cuda:0')   25
tensor(0.1371, device='cuda:0')   25
tensor(0.1091, device='cuda:0')   25
tensor(0.0971, device='cuda:0')   30
tensor(0.1552, device='cuda:0')   30
tensor(0.1226, device='cuda:0')   30
tensor(0.1372, device='cuda:0')   30
tensor(0.1545, device='cuda:0')   30
tensor(0.1565, device='cuda:0')   30
tensor(0.0924, device='cuda:0')   30
tensor(0.1589, device='cuda:0')   30
tensor(0.1011, device='cuda:0')   30
tensor(0.1432, device='cuda:0')   30
tensor(0.1846, device='cuda:0')   30
tensor(0.1055, device='cuda:0')   30
tensor(0.1883, device='cuda:0')   30
tensor(0.1320, device='cuda:0')   30
tensor(0.1387, device='cuda:0')   30
tensor(0.1092, device='cuda:0')   30
tensor(0.1729, device='cuda:0')   30
tensor(0.1243, device='cuda:0')   30
tensor(0.1170, device='cuda:0')   30
